"","search","maxDepth","duration","odbaMean","bottomPcnt","bathy","diveRatio","shoreDist","slope","terrainRugg","rugosity"
"1485","1",-8.950174224,229.4830603,0.213517239,0.944989059,-10.6982002,0.836605603,0.004158061,0.958654,0.0039419,0.282862
"1486","1",-8.893972193,353.906064,0.124182177,0.506824825,-12.2153997,0.728095061,0.004320324,0.97933,0.0049282,0.199213
"1487","1",-6.01082018,293.7081882,0.145286913,0.673106514,-15.8072996,0.380255979,0.005439289,0.641395,0.0614248,0.699789
"1488","1",-5.4009654,244.627938,0.159469927,0.853969948,-17.3813992,0.310732487,0.006704469,0.853727,0.177729,0.11411
"1489","1",-12.09766491,341.723878,0.145117298,0.391142068,-15.9945002,0.756364048,0.007739377,0.929435,0.0580984,-0.35475
"1490","1",-11.41447203,345.8314741,0.154829829,0.956381589,-13.3594999,0.854408632,0.007068877,0.895185,0.0321492,0.425635
"1491","1",-10.72590786,269.1730846,0.138917067,0.786918887,-11.6538,0.920378577,0.006107917,0.622769,0.0067928,0.779872
"1492","1",-9.380851188,309.1342705,0.160485837,0.427114129,-11.5334997,0.813356868,0.00542382,0.754203,0.0267401,0.636447
"1493","1",-6.688271346,256.5891776,0.127934887,0.806567772,-11.6445999,0.57436678,0.005732036,0.10649,0.0376962,0.981698
"1494","1",-7.416167954,172.0269296,0.153758343,0.680541771,-14.7044001,0.504350256,0.006722918,0.718701,0.0178283,0.689557
"1495","1",-9.974464421,360.2231251,0.114953829,0.484638118,-12.4477997,0.801303416,0.007976864,0.677694,0.122931,-0.731377
"1496","1",-7.111361508,346.1428078,0.146112315,0.690042361,-11.2629004,0.631396999,0.009487377,0.970078,0.0549328,0.0898874
"1497","1",-7.091837881,226.5002827,0.207485439,0.908349222,-12.4256001,0.570744095,0.00911902,0.596429,0.0218735,0.798599
"1498","1",-8.302131771,319.2174649,0.133667665,0.453169734,-15.1911001,0.546512874,0.008926413,0.804493,0.0497553,0.587302
"1499","1",-9.084376793,322.411146,0.148686215,0.211662461,-16.7707996,0.541678215,0.008905511,0.0639526,0.726132,-0.493152
"1500","1",-9.079057902,266.3811244,0.161877162,0.347194993,-14.8304005,0.612192361,0.00896164,-0.399219,0.554763,-0.630062
"1501","1",-8.700693526,354.2575698,0.145643529,0.756166015,-14.7650995,0.58927429,0.009156904,0.852762,0.193836,0.517427
"1502","1",-8.806953895,263.6092502,0.163903374,0.909669308,-15.1450996,0.581505182,0.009539689,0.908318,0.0019757,0.418261
"1503","1",-10.95363747,321.055338,0.15361655,0.764764765,-15.3354998,0.714266741,0.010001206,0.885416,0.0051058,0.464033
"1504","1",-10.78617806,250.2319445,0.247173731,0.942847969,-15.5587997,0.693252582,0.009734617,0.980638,0.0364369,0.151767
"1505","1",-10.77075284,230.5174916,0.224236802,0.938831525,-14.6695995,0.734222692,0.009430058,0.98668,0.0376551,0.0450211
"1506","1",-10.94163971,322.7927809,0.157364464,0.871161445,-15.0291996,0.728025444,0.008899693,0.275766,0.0529656,0.948501
"1507","1",-10.08420098,302.2748862,0.148786445,0.814605622,-16.7164001,0.603251951,0.008589685,0.286883,0.581657,-0.782463
"1508","1",-11.45490041,265.7785431,0.15430967,0.444490629,-16.4155006,0.697809996,0.0082828,-0.69594,0.564337,-0.62523
"1509","1",-12.61811626,332.1026626,0.13563061,0.379248821,-16.5237999,0.763632841,0.00794854,0.0470757,0.331961,-0.914094
"1510","1",-10.15454369,290.2634315,0.17679675,0.839838073,-14.8591003,0.683388865,0.00706445,0.303532,0.0322785,0.949234
"1511","1",-12.40446431,324.8817295,0.138341914,0.661937,-16.8749008,0.735083688,0.005706634,0.710501,0.126822,0.630559
"1512","1",-10.37935016,300.4269701,0.16721884,0.76619643,-12.8049002,0.81057642,0.003977795,0.899292,0.0067255,0.43445
"1513","1",-6.491576314,265.1860047,0.155928253,0.422836584,-8.3949404,0.773272472,0.002187297,0.96375,0.0124997,0.258166
"1514","0",-3.300088087,101.4646546,0.113429417,0.063941404,-4.2258,0.780938068,0.001181289,0.998461,0.0034062,0.0326515
"1515","0",-1.82271849,11.12766875,0.086851714,0.536101083,-3.5286801,0.516543988,0.001036909,0.998202,0,0.026054
"1516","0",-1.600287018,8.074589957,0.167906811,0.866915423,-3.39328,0.471604765,0.001019293,0.998021,0,0.0296267
"1517","0",-2.063586105,19.34286102,0.140458739,0.169781931,-3.9949501,0.516548656,0.001081281,0.963434,0,0.259565
"1518","0",-1.708009059,21.54228291,0.225117728,0.328205128,-4.1746998,0.409133385,0.0011238,0.954558,0.0030504,0.289543
"1519","0",-1.59898547,35.58242813,0.258648824,0.447078747,-4.35039,0.367549914,0.001182724,0.944354,0.0036656,0.324616
"1520","0",-1.713646682,17.99709602,0.224425216,0.416852679,-4.4369998,0.386217435,0.001195548,0.941488,0.0039952,0.336233
"1521","0",-2.26152051,38.99705572,0.160313922,0.153747103,-4.4268198,0.510867985,0.00120737,0.946732,0.0040691,0.320498
"1522","0",-4.028200304,270.7598821,0.160294314,0.038575668,-4.7224202,0.852994891,0.001209374,0.955392,0.0041274,0.29069
"1523","1",-4.203410942,201.1115222,0.157000961,0.274856429,-3.7474,1,0.000920225,0.893156,0,0.449521
"1524","0",-4.207374337,223.2061714,0.126684543,0.370663667,-3.02075,1,0.000742075,0.886822,0,0.44356
